"","phon","freq","freq_log10","nd","pp"
"16039","IH_N_T_EH_N_S_AH_F_AH_K_EY_SH_AH_N",0.203746718786436,0.0805351163196006,0,0.00814108423828079
"16040","IH_N_T_EH_N_S_AH_F_AY",0.203746718786436,0.0805351163196006,2,0.00663878850634351
"16041","IH_N_T_EH_N_S_AH_F_AY_D",0.713113515752525,0.233786141501144,2,0.00613349628694862
"16042","IH_N_T_EH_N_S_AH_F_AY_Z",0.203746718786436,0.0805351163196006,2,0.00612156662633609
"16043","IH_N_T_EH_N_S_AH_T_IY",1.7318471096847,0.436456390002801,1,0.00797438337040822
"16044","IH_N_T_EH_N_S_AH_T_IY_Z",0.407493437572871,0.148446378633484,1,0.0075417233637659
"16045","IH_N_T_EH_N_S_AH_V",5.7049081260202,0.826392831309791,0,0.00715606042354869
"16046","IH_N_T_EH_N_S_IH_V_L_IY",0.713113515752525,0.233786141501144,0,0.00620038561656911
"16047","IH_N_T_EH_N_S_L_IY",0.91686023453896,0.282590447994732,1,0.00704801574648617
"16048","IH_N_T_EH_N_SH_AH_N_AH_L",0.305620078179653,0.115816820159466,1,0.0111685621371493
"16049","IH_N_T_EH_N_SH_AH_N_AH_L_IY",0.713113515752525,0.233786141501144,1,0.0109076576852136
"16050","IH_N_T_EH_N_T",3.97306101633549,0.696623787785462,5,0.00903340535241702
"16051","IH_N_T_EH_N_T_L_IY",0.305620078179653,0.115816820159466,1,0.00787681009166533
"16052","IH_N_T_EH_N_T_S",0.713113515752525,0.233786141501144,2,0.00861763309818308
"16053","IH_N_T_EH_R_AH_G_EY_SH_AH_N",0.203746718786436,0.0805351163196006,0,0.00900627647188222
"16054","IH_N_T_EH_R_AH_G_EY_T_AH_D",0.305620078179653,0.115816820159466,0,0.00689381933438986
"16055","IH_N_T_EH_S_T_AH_N",0.509366796966089,0.178794792155304,1,0.0126329874274734
"16056","IH_N_T_EH_S_T_AH_N_Z",0.509366796966089,0.178794792155304,1,0.0117214585574826
